title,state_name,county_name,lat,lng,population,density,timezone
Acton,California,Los Angeles,34.4956,-118.1858,7278,71,America/Los_Angeles
Agoura Hills,California,Los Angeles,34.151,-118.7608,20692,1024,America/Los_Angeles
Agua Dulce,California,Los Angeles,34.5044,-118.316,3598,60,America/Los_Angeles
Alhambra,California,Los Angeles,34.084,-118.1355,85396,4320,America/Los_Angeles
Alondra Park,California,Los Angeles,33.8885,-118.335,7441,2596,America/Los_Angeles
Altadena,California,Los Angeles,34.1928,-118.1345,45236,2063,America/Los_Angeles
Arcadia,California,Los Angeles,34.1342,-118.0373,58799,2078,America/Los_Angeles
Artesia,California,Los Angeles,33.8676,-118.0806,16904,4027,America/Los_Angeles
Avalon,California,Los Angeles,33.3342,-118.3315,3687,504,America/Los_Angeles
Avocado Heights,California,Los Angeles,34.0381,-118.0026,16213,2313,America/Los_Angeles
Azusa,California,Los Angeles,34.1386,-117.9124,49864,1991,America/Los_Angeles
Baldwin Park,California,Los Angeles,34.0829,-117.9721,76402,4448,America/Los_Angeles
Bell,California,Los Angeles,33.9801,-118.1798,35811,5531,America/Los_Angeles
Bell Gardens,California,Los Angeles,33.9663,-118.155,42747,6713,America/Los_Angeles
Bellflower,California,Los Angeles,33.888,-118.1271,77772,4907,America/Los_Angeles
Beverly Hills,California,Los Angeles,34.0786,-118.4021,34484,2332,America/Los_Angeles
Bradbury,California,Los Angeles,34.1536,-117.9684,1093,215,America/Los_Angeles
Burbank,California,Los Angeles,34.1879,-118.3235,104834,2337,America/Los_Angeles
Calabasas,California,Los Angeles,34.1375,-118.6689,24202,682,America/Los_Angeles
Carson,California,Los Angeles,33.8374,-118.2559,92735,1912,America/Los_Angeles
Castaic,California,Los Angeles,34.4818,-118.6317,19299,1026,America/Los_Angeles
Cerritos,California,Los Angeles,33.8677,-118.0686,51020,2258,America/Los_Angeles
Charter Oak,California,Los Angeles,34.1025,-117.8564,9481,3945,America/Los_Angeles
Citrus,California,Los Angeles,34.1161,-117.889,11489,5001,America/Los_Angeles
Claremont,California,Los Angeles,34.1259,-117.7153,36015,1041,America/Los_Angeles
Commerce,California,Los Angeles,33.9963,-118.1519,12947,764,America/Los_Angeles
Compton,California,Los Angeles,33.893,-118.2275,97612,3758,America/Los_Angeles
Covina,California,Los Angeles,34.0903,-117.8817,48462,2662,America/Los_Angeles
Cudahy,California,Los Angeles,33.9631,-118.183,24076,7905,America/Los_Angeles
Culver City,California,Los Angeles,34.0058,-118.3968,39283,2967,America/Los_Angeles
Del Aire,California,Los Angeles,33.9168,-118.3693,10614,4049,America/Los_Angeles
Desert View Highlands,California,Los Angeles,34.5902,-118.1536,2514,2205,America/Los_Angeles
Diamond Bar,California,Los Angeles,33.9991,-117.8161,56665,1471,America/Los_Angeles
Downey,California,Los Angeles,33.9379,-118.1312,113092,3519,America/Los_Angeles
Duarte,California,Los Angeles,34.1609,-117.9504,21757,1253,America/Los_Angeles
East Los Angeles,California,Los Angeles,34.0326,-118.1691,123905,6423,America/Los_Angeles
East Pasadena,California,Los Angeles,34.1377,-118.0775,6288,1843,America/Los_Angeles
East Rancho Dominguez,California,Los Angeles,33.8949,-118.1956,16027,7527,America/Los_Angeles
East San Gabriel,California,Los Angeles,34.1198,-118.0807,15832,3914,America/Los_Angeles
East Whittier,California,Los Angeles,33.9244,-117.9887,10540,3731,America/Los_Angeles
